Station Counts by State and Fuel Type,,,,,,,,
State,Biodiesel,CNG,E85,Electrica,Hydrogenb,LNG,Propanec,Totald
,,,,(stations / charging outlets,(retail / non-retail / total),,(primary / secondary / total),
,,,,Level 1 / Level 2 / DC Fast),,,,
Alabama,10,30,33,276 | 680,0 | 0 | 0,2,26 | 42 | 68,823
,,,,35 | 527 | 118,,,,
Alaska,0,1,0,52 | 94,0 | 0 | 0,0,1 | 1 | 2,97
,,,,3 | 75 | 16,,,,
Arizona,75,29,19,"890 | 2,257",0 | 1 | 1,7,36 | 33 | 69,"2,457"
,,,,"10 | 1,823 | 424",,,,
Arkansas,17,15,70,160 | 453,0 | 0 | 0,0,9 | 26 | 35,590
,,,,3 | 384 | 66,,,,
California,27,323,264,"14,616 | 41,225",47 | 5 | 52,41,135 | 126 | 261,"42,193"
,,,,"676 | 33,690 | 6,817",,,,
Colorado,6,31,96,"1,614 | 3,978",0 | 1 | 1,1,26 | 24 | 50,"4,163"
,,,,"89 | 3,307 | 582",,,,
Connecticut,1,17,3,"533 | 1,430",0 | 1 | 1,0,10 | 10 | 20,"1,472"
,,,,"76 | 1,040 | 312",,,,
Delaware,0,2,1,134 | 314,0 | 1 | 1,0,6 | 3 | 9,327
,,,,5 | 218 | 91,,,,
District of Columbia,8,2,4,289 | 822,0 | 0 | 0,0,0 | 6 | 6,842
,,,,43 | 738 | 41,,,,
Florida,7,56,111,"2,624 | 6,723",0 | 0 | 0,3,75 | 64 | 139,"7,039"
,,,,"373 | 5,218 | 1,132",,,,
Georgia,4,46,67,"1,579 | 3,939",0 | 0 | 0,4,35 | 47 | 82,"4,142"
,,,,"230 | 3,123 | 586",,,,
Hawaii,8,0,1,385 | 833,1 | 1 | 2,0,1 | 0 | 1,845
,,,,30 | 724 | 79,,,,
Idaho,0,11,5,139 | 345,0 | 0 | 0,0,10 | 14 | 24,385
,,,,10 | 255 | 80,,,,
Illinois,19,39,304,"1,077 | 2,756",0 | 0 | 0,2,40 | 51 | 91,"3,211"
,,,,"61 | 2,196 | 499",,,,
Indiana,7,31,247,354 | 948,0 | 0 | 0,1,24 | 24 | 48,"1,282"
,,,,8 | 685 | 255,,,,
Iowa,12,11,342,280 | 582,0 | 0 | 0,0,25 | 11 | 36,983
,,,,27 | 399 | 156,,,,
Kansas,7,21,63,"493 | 1,017",0 | 0 | 0,1,6 | 28 | 34,"1,143"
,,,,14 | 893 | 110,,,,
Kentucky,3,9,75,222 | 527,0 | 0 | 0,1,4 | 16 | 20,635
,,,,24 | 398 | 105,,,,
Louisiana,2,22,22,159 | 385,0 | 0 | 0,1,12 | 38 | 50,482
,,,,25 | 279 | 81,,,,
